Agaricus bisporus var. bisporus H97	936046	Agaricus bisporus var. bisporus	Agaricus bisporus	Agaricus	Agaricaceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Agar_bisp_var_bisporus_H97	agarBisp_VAR_BISPORUS_H97
Agaricus bisporus var. burnettii JB137-S8	597362	Agaricus bisporus var. burnettii	Agaricus bisporus	Agaricus	Agaricaceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Agar_bisp_var_burnettii_JB137_S8_JB137_s8	agarBisp_VAR_BURNETTII_JB137_S
Allomyces macrogynus ATCC 38327	578462		Allomyces macrogynus	Allomyces	Blastocladiaceae	Blastocladiales		Blastocladiomycetes		Blastocladiomycota		Fungi	Allo_macr_ATCC_38327	alloMacr_ATCC38327
Amanita jacksonii TRTC168611	1417757		Amanita jacksonii	Amanita	Amanitaceae	Agaricales	Agaricomycetidae	Agaricomycetes	Agaricomycotina	Basidiomycota	Dikarya	Fungi	Aman_jack_TRTC168611	amanJack_TRTC168611
Anncaliia algerae PRA109	1240240		Anncaliia algerae	Anncaliia	Tubulinosematidae					Microsporidia		Fungi	Annc_alge_PRA109	anncAlge_PRA109
Anncaliia algerae PRA339	1288291		Anncaliia algerae	Anncaliia	Tubulinosematidae					Microsporidia		Fungi	Annc_alge_PRA339	anncAlge_PRA339
Trichophyton benhamiae CBS 112371	663331		Trichophyton benhamiae	Trichophyton	Arthrodermataceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Arth_benh_CBS_112371	arthBenh_CBS_112371
Microsporum canis CBS 113480	554155		Microsporum canis	Microsporum	Arthrodermataceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Arth_otae_CBS_113480	arthOtae_CBS_113480
Ascosphaera apis ARSEF 7405	392613		Ascosphaera apis	Ascosphaera	Ascosphaeraceae	Onygenales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Asco_apis_ARSEF_7405_USDA_ARSEF_7405	ascoApis_ARSEF_7405_USDA_ARSEF
Ascocoryne sarcoides NRRL 50072	1016881		Ascocoryne sarcoides	Ascocoryne	Helotiaceae	Helotiales		Leotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Asco_sarc_NRRL_50072	ascoSarc_NRRL_50072
Aspergillus clavatus NRRL 1	344612		Aspergillus clavatus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_clav_NRRL_1	aspeClav_NRRL_1
Aspergillus flavus NRRL3357	332952		Aspergillus flavus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_flav_NRRL3357	aspeFlav_NRRL3357
Aspergillus fumigatus A1163	451804		Aspergillus fumigatus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_fumi_A1163	aspeFumi_A1163
Aspergillus fumigatus Af293	330879		Aspergillus fumigatus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_fumi_Af293	aspeFumi_AF293
Aspergillus kawachii IFO 4308	1033177		Aspergillus kawachii	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_kawa_IFO_4308_IFO4308	aspeKawa_IFO_4308_IFO4308
Aspergillus nidulans FGSC A4	227321		Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_nidu_FGSC_A4	aspeNidu_FGSC_A4
Aspergillus nidulans FGSC A4	227321		Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_nidu_FGSC_A4_1	aspeNidu_FGSC_A4_1
Aspergillus niger CBS 513.88	425011		Aspergillus niger	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_nige_CBS_513_88	aspeNige_CBS_513_88
Aspergillus niger SH-2	1316740		Aspergillus niger	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_nige_SH_2	aspeNige_SH_2
Aspergillus oryzae RIB40	510516		Aspergillus oryzae	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_oryz_RIB40	aspeOryz_RIB40
Aspergillus oryzae RIB40	510516		Aspergillus oryzae	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_oryz_RIB40_1	aspeOryz_RIB40_1
Aspergillus ruber CBS 135680	1388766		Aspergillus ruber	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_rube_CBS_135680	aspeRube_CBS_135680
Aspergillus sojae NBRC 4239	927772		Aspergillus sojae	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetidae	Eurotiomycetes	Pezizomycotina	Ascomycota	Dikarya	Fungi	Aspe_soja_NBRC_4239	aspeSoja_NBRC_4239
